 Rows: Electric field / N (Td)                                         
  0.3751E+28  0.1619E+26  0.2357E+26  0.8917E+26
  0.3791E+28  0.1649E+26  0.2404E+26  0.9184E+26
  0.3827E+28  0.1678E+26  0.2451E+26  0.9453E+26
  0.3861E+28  0.1707E+26  0.2498E+26  0.9727E+26
  0.3892E+28  0.1735E+26  0.2545E+26  0.9994E+26
  0.3921E+28  0.1765E+26  0.2594E+26  0.1025E+27
  0.3948E+28  0.1794E+26  0.2641E+26  0.1052E+27
  0.3973E+28  0.1825E+26  0.2688E+26  0.1080E+27
  0.3996E+28  0.1854E+26  0.2737E+26  0.1107E+27
  0.4018E+28  0.1884E+26  0.2785E+26  0.1133E+27
  0.4038E+28  0.1916E+26  0.2835E+26  0.1158E+27
  0.4057E+28  0.1947E+26  0.2882E+26  0.1185E+27
  0.4075E+28  0.1977E+26  0.2931E+26  0.1213E+27
  0.4091E+28  0.2008E+26  0.2982E+26  0.1239E+27
  0.4107E+28  0.2039E+26  0.3032E+26  0.1267E+27
  0.4122E+28  0.2071E+26  0.3082E+26  0.1293E+27
  0.4136E+28  0.2102E+26  0.3131E+26  0.1319E+27
  0.4149E+28  0.2134E+26  0.3181E+26  0.1345E+27
  0.4161E+28  0.2167E+26  0.3232E+26  0.1371E+27
  0.4173E+28  0.2199E+26  0.3283E+26  0.1398E+27
  0.4184E+28  0.2233E+26  0.3333E+26  0.1426E+27
  0.4194E+28  0.2266E+26  0.3385E+26  0.1453E+27

 Longitud. diffusion coef. *N (1/m/s)                            
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
